RM1912000.031272
Normal   20/01/2019 00:02:11 20/01/2019 00:03:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6
0001201 0020 0001201 0000 07
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2
1 0 1 01200 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.0931,41.0000,5.1444,58.0000,5.0932,0.0000,136.0000
5.0912,51.0000,5.1452,65.0000,5.0929,0.0000,133.1200
5.0864,50.0000,5.1424,76.0000,5.0932,0.0000,130.8800
5.0916,62.0000,5.1384,77.0000,5.0929,0.0000,134.8800
5.0927,62.0000,5.1404,70.0000,5.0927,0.0000,135.0400
5.0922,58.0000,5.1419,82.0000,5.0927,0.0000,138.0800
5.0899,69.0000,5.1423,93.0000,5.0939,0.0000,139.5200
5.0894,106.0000,5.1430,93.0000,5.0937,0.0000,137.7600
5.0898,343.0000,5.1422,221.0000,5.0929,0.0000,136.8000
5.0890,488.0000,5.1413,460.0000,5.0932,0.0000,129.9200
5.0925,154.0000,5.1428,180.0000,5.0937,0.0000,135.3600
5.0929,81.0000,5.1447,117.0000,5.0929,0.0000,132.9600
5.0970,495.0000,5.1453,638.0000,5.0925,0.0000,127.2000
5.0956,1025.0000,5.1472,1273.0000,5.0937,0.0000,136.8000
5.0962,1250.0000,5.1458,1744.0000,5.0931,0.0000,140.8000
5.0964,1324.0000,5.1472,2722.0000,5.0931,0.0000,132.3200
5.1240,1183.0000,5.1507,2789.0000,5.0933,0.0000,137.1200
5.2083,800.0000,5.1894,2409.0000,5.0934,0.0000,133.9200
5.2324,529.0000,5.2393,1819.0000,5.0931,0.0000,136.6400
5.1154,173.0000,5.1801,741.0000,5.0936,0.0000,126.5600
5.1165,47.0000,5.1625,173.0000,5.0942,0.0000,143.3600
5.2919,16.0000,5.3528,57.0000,5.0928,0.0000,127.6800
5.4726,12.0000,5.5261,59.0000,5.0932,0.0000,129.2800
5.5624,20.0000,5.7087,63.0000,5.0931,0.0000,131.2000
5.5607,15.0000,6.1292,64.0000,5.0927,0.0000,128.9600
5.4793,13.0000,6.2306,70.0000,5.0933,0.0000,133.9200
5.3487,14.0000,6.0245,61.0000,5.0940,0.0000,136.4800
5.2369,13.0000,5.7471,62.0000,5.0939,0.0000,136.3200
5.1218,17.0000,5.3137,59.0000,5.0936,0.0000,143.2000
5.0856,8.0000,5.1644,42.0000,5.0935,0.0000,135.2000
5.0840,13.0000,5.1373,39.0000,5.0936,0.0000,139.2000
5.0796,16.0000,5.1446,52.0000,5.0933,0.0000,137.4400
5.0836,11.0000,5.1479,48.0000,5.0937,0.0000,135.8400
5.0821,13.0000,5.1435,56.0000,5.0941,0.0000,134.5600
5.0804,9.0000,5.1450,53.0000,5.0932,0.0000,139.3600
5.0815,17.0000,5.1418,50.0000,5.0934,0.0000,130.5600
5.0823,3.0000,5.1408,56.0000,5.0933,0.0000,135.3600
5.0817,13.0000,5.1393,50.0000,5.0927,0.0000,136.0000
5.0786,10.0000,5.1363,40.0000,5.0930,0.0000,133.6000
5.0815,10.0000,5.1365,60.0000,5.0928,0.0000,137.4400
5.0800,13.0000,5.1403,44.0000,5.0925,0.0000,142.2400
5.0798,5.0000,5.1387,53.0000,5.0929,0.0000,140.8000
5.0787,11.0000,5.1408,52.0000,5.0922,0.0000,140.4800
5.0784,7.0000,5.1405,49.0000,5.0931,0.0000,142.0800
5.0794,9.0000,5.1386,45.0000,5.0929,0.0000,133.7600
5.0775,15.0000,5.1396,53.0000,5.0925,0.0000,131.8400
5.0790,9.0000,5.1391,41.0000,5.0928,0.0000,132.3200
5.0805,7.0000,5.1374,53.0000,5.0928,0.0000,129.1200
5.0781,4.0000,5.1387,50.0000,5.0925,0.0000,140.8000
5.0789,11.0000,5.1368,51.0000,5.0928,0.0000,135.6800
5.0788,14.0000,5.1389,45.0000,5.0929,0.0000,133.4400
5.0796,7.0000,5.1403,43.0000,5.0921,0.0000,134.5600
5.0780,12.0000,5.1360,53.0000,5.0936,0.0000,129.7600
5.0795,12.0000,5.1356,52.0000,5.0936,0.0000,143.0400
5.0813,8.0000,5.1381,45.0000,5.0933,0.0000,128.9600
5.0795,9.0000,5.1378,43.0000,5.0933,0.0000,135.3600
5.0783,11.0000,5.1364,51.0000,5.0929,0.0000,134.8800
5.0779,11.0000,5.1358,41.0000,5.0928,0.0000,140.9600
5.0789,7.0000,5.1396,52.0000,5.0917,0.0000,138.8800
5.0802,10.0000,5.1389,52.0000,5.0931,0.0000,134.7200
5.0787,8.0000,5.1360,43.0000,5.0934,0.0000,139.5200
5.0786,6.0000,5.1374,41.0000,5.0933,0.0000,138.2400
5.0792,5.0000,5.1377,60.0000,5.0927,0.0000,133.6000
5.0788,2.0000,5.1364,38.0000,5.0936,0.0000,134.4000
5.0796,5.0000,5.1381,46.0000,5.0942,0.0000,136.1600
5.0792,10.0000,5.1401,46.0000,5.0938,0.0000,138.0800
5.0797,5.0000,5.1357,59.0000,5.0924,0.0000,144.0000
5.0795,5.0000,5.1391,59.0000,5.0929,0.0000,139.6800
5.0783,7.0000,5.1385,49.0000,5.0928,0.0000,139.6800
5.0783,4.0000,5.1366,49.0000,5.0931,0.0000,139.0400
5.0776,6.0000,5.1364,52.0000,5.0930,0.0000,140.0000
