RM1912000.021110,,,,,,
Normal   20/01/2019 00:01:10 20/01/2019 00:02:11 0110 113.5696 22.1657 -90.0 0.0 25.7 1006.6,,,,,,
0001201 0020 0001201 0000 07,,,,,,
1 0 1 16230 1 0800 7.50 00355.p 0 0 09 000 12 001201 0.100 BT0,,,,,,
1 1 1 16230 1 0800 7.50 00355.p 0 0 00 000 00 001201 3.9683 BC0,,,,,,
1 0 1 16230 1 0780 7.50 00355.s 2 0 09 000 12 001201 0.100 BT1,,,,,,
1 1 1 16230 1 0780 7.50 00355.s 2 0 00 000 00 001201 3.9683 BC1,,,,,,
1 0 2 16230 1 0850 7.50 00387.o 1 0 09 000 12 001201 0.100 BT2,,,,,,
1 1 2 16230 1 0850 7.50 00387.o 1 0 00 000 00 001201 3.9683 BC2,,,,,,
1 0 1 01201 1 0149 1.00 00355.p 1 0 00 000 00 000001 0.000001 PD0,,,,,,
00355.p_an (mV), 00355.p_ph (counts), 00355.s_an (mV), 00355.s_ph (counts), 00387.o_an (mV), 00387.o_ph (counts), PD_00355.p_an
5.077,10,5.1369,39,5.0918,0,128.64
5.0777,8,5.1367,39,5.0921,0,128.64
5.0784,8,5.1347,55,5.0919,0,128
5.0795,9,5.138,41,5.0925,0,125.28
5.0786,7,5.1386,43,5.0935,0,123.36
5.0787,11,5.137,41,5.093,0,131.36
5.0769,8,5.138,64,5.0938,0,127.52
5.0785,13,5.1386,42,5.0931,0,128.8
5.0782,10,5.1336,45,5.092,0,128.16
5.0771,12,5.1335,46,5.0941,0,133.76
5.0779,1,5.1368,42,5.0931,0,131.04
5.0774,2,5.1392,56,5.0925,0,130.4
5.0782,7,5.1354,39,5.0926,0,128.96
5.0781,13,5.1355,50,5.093,0,126.08
5.0783,6,5.1372,43,5.0931,0,129.28
5.0777,8,5.1406,40,5.0923,0,124.16
5.0798,10,5.1352,50,5.0933,0,125.76
5.0795,10,5.1336,56,5.0941,0,132.48
5.0789,5,5.1388,43,5.0917,0,131.2
5.0758,6,5.1389,38,5.0917,0,126.88
5.0776,7,5.1382,53,5.0944,0,128
5.0778,7,5.1347,65,5.0934,0,131.36
5.0788,6,5.1382,45,5.0929,0,129.6
5.0771,7,5.137,39,5.0929,0,131.2
5.0774,4,5.1361,41,5.0933,0,126.88
5.0785,4,5.1385,48,5.0929,0,126.4
5.0776,2,5.1381,46,5.0917,0,123.68
5.0761,5,5.1369,49,5.0929,0,120.64
5.0771,6,5.1369,39,5.0937,0,135.2
5.0778,3,5.1359,40,5.0928,0,127.52
5.0772,4,5.1408,47,5.0933,0,123.52
5.0764,5,5.1374,49,5.0917,0,131.68
5.0757,3,5.1349,50,5.0934,0,124.64
5.0752,8,5.1373,43,5.093,0,127.36
5.0756,3,5.1356,46,5.0921,0,130.56
5.0774,6,5.1367,41,5.0921,0,124.8
5.077,2,5.1373,53,5.0922,0,127.84
5.0769,4,5.1344,53,5.0921,0,129.12
5.0755,1,5.1348,54,5.0925,0,130.72
5.0771,12,5.1386,51,5.0916,0,132.64
5.0759,11,5.1384,32,5.093,0,127.68
5.0757,3,5.1375,39,5.0928,0,123.84
5.0775,7,5.1368,42,5.0929,0,128.48
5.0765,6,5.1372,46,5.093,0,125.44
5.0765,7,5.1353,54,5.0928,0,129.44
5.0763,6,5.1394,38,5.0934,0,129.76
5.076,6,5.1388,46,5.0927,0,125.12
5.0772,6,5.1384,47,5.0926,0,125.76
5.0783,1,5.1366,49,5.0921,0,126.24
5.077,2,5.1339,44,5.0933,0,125.44
5.0773,6,5.1355,51,5.0929,0,123.68
5.0771,4,5.1371,50,5.0924,0,126.88
5.0783,1,5.1374,44,5.0931,0,132.48
5.0772,2,5.1382,34,5.0924,0,130.4
5.0772,6,5.137,53,5.0922,0,135.52
5.077,10,5.1364,39,5.0936,0,126.88
5.0778,9,5.1376,30,5.0933,0,129.28
5.0768,3,5.1383,47,5.0922,0,129.12
5.0765,6,5.1369,44,5.0928,0,132.96
5.0773,5,5.136,42,5.0918,0,133.12
5.0754,6,5.1373,38,5.092,0,132.96
5.0765,4,5.1358,49,5.0935,0,125.76
5.076,5,5.1341,45,5.0937,0,129.6
5.0767,4,5.1379,25,5.0938,0,130.08
